2017.09.13;11:06:54.699;log file opened: C:/Users/tfe/Desktop/explora_13092017_110643.log
2017.09.13;11:06:58.814;COM9:EvType:start radio link test - ok
2017.09.13;11:06:58.814;COM9:DstGroupAddress:0x10
2017.09.13;11:06:58.814;COM9:DstDeviceAddress:0x1235
2017.09.13;11:06:58.814;COM9:PacketSize:15
2017.09.13;11:06:58.814;COM9:NumPackets:100
2017.09.13;11:06:58.814;COM9:InfiniteTest:1
----------------------------------------------------------------------------------------------------------------------------------------------------------------
2017.09.13;11:07:01.222;COM9:Port:COM9
2017.09.13;11:07:01.223;COM9:Port:COM9
2017.09.13;11:07:01.224;COM9:Status:0
2017.09.13;11:07:01.225;COM9:LocalTx:1
2017.09.13;11:07:01.226;COM9:LocalRx:1
2017.09.13;11:07:01.227;COM9:PeerTx:1
2017.09.13;11:07:01.227;COM9:PeerRx:1
2017.09.13;11:07:01.228;COM9:LocalRSSI:-86
2017.09.13;11:07:01.229;COM9:PeerRSSI:-84
2017.09.13;11:07:01.229;COM9:LocalSNR:8
2017.09.13;11:07:01.230;COM9:PeerSNR:8
2017.09.13;11:07:01.231;COM9:DeviceLongAddress:10:1234
2017.09.13;11:07:01.232;COM9:Spreading:SF12
2017.09.13;11:07:01.233;COM9:Bandwidth:125000 Hz
2017.09.13;11:07:01.234;COM9:ErrorCoding:4/5
2017.09.13;11:07:01.235;COM9:RadioMode:Standard
2017.09.13;11:07:01.236;COM9:PowerLevel:15
2017.09.13;11:07:01.237;COM9:Frequency:865200012 Hz
----------------------------------------------------------------------------------------------------------------------------------------------------------------
2017.09.13;11:07:03.655;COM9:Port:COM9
2017.09.13;11:07:03.656;COM9:Port:COM9
2017.09.13;11:07:03.658;COM9:Status:0
2017.09.13;11:07:03.659;COM9:LocalTx:2
2017.09.13;11:07:03.659;COM9:LocalRx:2
2017.09.13;11:07:03.660;COM9:PeerTx:2
2017.09.13;11:07:03.661;COM9:PeerRx:2
2017.09.13;11:07:03.662;COM9:LocalRSSI:-86
2017.09.13;11:07:03.663;COM9:PeerRSSI:-84
2017.09.13;11:07:03.663;COM9:LocalSNR:8
2017.09.13;11:07:03.664;COM9:PeerSNR:10
2017.09.13;11:07:03.665;COM9:DeviceLongAddress:10:1234
2017.09.13;11:07:03.667;COM9:Spreading:SF12
2017.09.13;11:07:03.668;COM9:Bandwidth:125000 Hz
2017.09.13;11:07:03.669;COM9:ErrorCoding:4/5
2017.09.13;11:07:03.670;COM9:RadioMode:Standard
2017.09.13;11:07:03.671;COM9:PowerLevel:15
2017.09.13;11:07:03.672;COM9:Frequency:865200012 Hz
----------------------------------------------------------------------------------------------------------------------------------------------------------------
2017.09.13;11:07:06.026;COM9:Port:COM9
2017.09.13;11:07:06.026;COM9:Port:COM9
2017.09.13;11:07:06.027;COM9:Status:0
